Dictionnaire de données — Observatoire de Population de Ouagadougou (OPO)						
Base de données de suivi démographique (23 tables)  •  327 variables  •  Source : Dictionnaire_des_variables.doc						
						
N°	Table	Description de la table	Nom de la variable	Libellé de la variable	Type de donnée	Modalités / Valeurs codées
122	TBase_vacc	Vaccination Table	dtcoq1	Date of DTCOQ1 vaccination	Catégorielle (codes)	01/01/1960 Health record shows vaccine is done but no date reported 01/01/1966 Vaccine is done but date unknown. No health record. 01/01/1800 Doesn’t know if vaccine is done 01/01/1860 Vaccine is done but date not showed in the health record. 01/01/1900 Child has not been vaccined
123	TBase_vacc	Vaccination Table	dtcoq2	Date of DTCOQ2 vaccination	Catégorielle (codes)	01/01/1960 Health record shows vaccine is done but no date reported 01/01/1966 Vaccine is done but date unknown. No health record. 01/01/1800 Doesn’t know if vaccine is done 01/01/1860 Vaccine is done but date not showed in the health record. 01/01/1900 Child has not been vaccined
124	TBase_vacc	Vaccination Table	dtcoq3	Date of DTCOQ3 vaccination	Catégorielle (codes)	01/01/1960 Health record shows vaccine is done but no date reported 01/01/1966 Vaccine is done but date unknown. No health record. 01/01/1800 Doesn’t know if vaccine is done 01/01/1860 Vaccine is done but date not showed in the health record. 01/01/1900 Child has not been vaccined
125	TBase_vacc	Vaccination Table	polio0	Date of POLIO0 vaccination	Catégorielle (codes)	01/01/1960 Health record shows vaccine is done but no date reported 01/01/1966 Vaccine is done but date unknown. No health record. 01/01/1800 Doesn’t know if vaccine is done 01/01/1860 Vaccine is done but date not showed in the health record. 01/01/1900 Child has not been vaccined
126	TBase_vacc	Vaccination Table	polio1	Date of POLIO1 vaccination	Catégorielle (codes)	01/01/1960 Health record shows vaccine is done but no date reported 01/01/1966 Vaccine is done but date unknown. No health record. 01/01/1800 Doesn’t know if vaccine is done 01/01/1860 Vaccine is done but date not showed in the health record. 01/01/1900 Child has not been vaccined
127	TBase_vacc	Vaccination Table	polio2	Date of POLIO2 vaccination	Catégorielle (codes)	01/01/1960 Health record shows vaccine is done but no date reported 01/01/1966 Vaccine is done but date unknown. No health record. 01/01/1800 Doesn’t know if vaccine is done 01/01/1860 Vaccine is done but date not showed in the health record. 01/01/1900 Child has not been vaccined
128	TBase_vacc	Vaccination Table	polio3	Date of POLIO3 vaccination	Catégorielle (codes)	01/01/1960 Health record shows vaccine is done but no date reported 01/01/1966 Vaccine is done but date unknown. No health record. 01/01/1800 Doesn’t know if vaccine is done 01/01/1860 Vaccine is done but date not showed in the health record. 01/01/1900 Child has not been vaccined
129	TBase_vacc	Vaccination Table	hepb1	Date of HEPB1 vaccination	Catégorielle (codes)	01/01/1960 Health record shows vaccine is done but no date reported 01/01/1966 Vaccine is done but date unknown. No health record. 01/01/1800 Doesn’t know if vaccine is done 01/01/1860 Vaccine is done but date not showed in the health record. 01/01/1900 Child has not been vaccined
130	TBase_vacc	Vaccination Table	hepb2	Date of HEPB2 vaccination	Catégorielle (codes)	01/01/1960 Health record shows vaccine is done but no date reported 01/01/1966 Vaccine is done but date unknown. No health record. 01/01/1800 Doesn’t know if vaccine is done 01/01/1860 Vaccine is done but date not showed in the health record. 01/01/1900 Child has not been vaccined
131	TBase_vacc	Vaccination Table	hepb3	Date of HEPB3 vaccination	Catégorielle (codes)	01/01/1960 Health record shows vaccine is done but no date reported 01/01/1966 Vaccine is done but date unknown. No health record. 01/01/1800 Doesn’t know if vaccine is done 01/01/1860 Vaccine is done but date not showed in the health record. 01/01/1900 Child has not been vaccined
